State,state_code,state_id,year,total_population,land_area,population_density,population_change
Alabama,AL,1,2022,5028092,50645,99.28111363411985,250766
Alaska,AK,2,2022,734821,570641,1.2877115384278381,23682
Arizona,AZ,4,2022,7172282,113594,63.13962005035477,761303
Arkansas,AR,5,2022,3018669,52035,58.012280196021905,102297
California,CA,6,2022,39356104,155779,252.64062550151175,2031036
Colorado,CO,8,2022,5770790,103642,55.68003319117732,727937
Connecticut,CT,9,2022,3611317,4842,745.8316811235027,39104
Delaware,DE,10,2022,993635,1949,509.8178553104156,93504
Florida,FL,12,2022,21634529,53625,403.44110023310026,2749377
Georgia,GA,13,2022,10722325,57513,186.433067306522,1007756
Hawaii,HI,15,2022,1450589,6423,225.84290829830297,87859
Idaho,ID,16,2022,1854109,82643,22.43516087266919,286306
Illinois,IL,17,2022,12757634,55519,229.788612907293,-66226
Indiana,IN,18,2022,6784403,35826,189.37093172556243,298873
Iowa,IA,19,2022,3188836,55857,57.08928155826486,141190
Kansas,KS,20,2022,2935922,81759,35.90946562457956,84739
Kentucky,KY,21,2022,4502935,39486,114.03877323608367,162768
Louisiana,LA,22,2022,4640546,43204,107.4101009165818,110941
Maine,ME,23,2022,1366949,30843,44.31958629186526,37865
Maryland,MD,24,2022,6161707,9707,634.7694447306068,376211
Massachusetts,MA,25,2022,6984205,7800,895.4108974358975,423610
Michigan,MI,26,2022,10057921,56539,177.89350713666673,160657
Minnesota,MN,27,2022,5695292,79627,71.52463360417948,382211
Mississippi,MS,28,2022,2958846,46923,63.05747714340515,-8774
Missouri,MO,29,2022,6154422,68742,89.52928340752378,172009
Montana,MT,30,2022,1091840,145546,7.501683316614678,101055
Nebraska,NE,31,2022,1958939,76824,25.499049776111633,131633
Nevada,NV,32,2022,3104817,109781,28.28191581421193,400613
New Hampshire,NH,33,2022,1379610,8953,154.09471685468557,62136
New Jersey,NJ,34,2022,9249063,7354,1257.691460429698,455175
New Mexico,NM,35,2022,2112463,121298,17.415480881795247,57176
New York,NY,36,2022,19994379,47126,424.2749013283538,596254
North Carolina,NC,37,2022,10470214,48618,215.3567403019458,925965
North Dakota,ND,38,2022,776874,69001,11.25888030608252,100621
Ohio,OH,39,2022,11774683,40861,288.1643376324613,241122
Oklahoma,OK,40,2022,3970497,68595,57.883183905532476,221492
Oregon,OR,41,2022,4229374,95988,44.06148685252323,392746
Pennsylvania,PA,42,2022,12989208,44743,290.3070424423932,289619
Rhode Island,RI,44,2022,1094250,1034,1058.2688588007736,41779
South Carolina,SC,45,2022,5142750,30061,171.07714314227738,512399
South Dakota,SD,46,2022,890342,75811,11.744232367334556,74471
Tennessee,TN,47,2022,6923772,41235,167.91007639141506,570546
Texas,TX,48,2022,29243342,261232,111.94395020518161,4034445
Utah,UT,49,2022,3283809,82170,39.9635998539613,517576
Vermont,VT,50,2022,643816,9217,69.8509276337203,18318
Virginia,VA,51,2022,8624511,39490,218.3973410990124,609556
Washington,WA,53,2022,7688549,66456,115.69382749488383,949835
West Virginia,WV,54,2022,1792967,24038,74.58885930609868,-57514
Wisconsin,WI,55,2022,5882128,54158,108.61050998929059,194909
Wyoming,WY,56,2022,577929,97093,5.952324060436901,15126
Alabama,AL,1,2021,4997675,50645,98.68052127554546,220349
Alaska,AK,2,2021,735951,570641,1.2896917676788033,24812
Arizona,AZ,4,2021,7079203,113594,62.320219377784035,668224
Arkansas,AR,5,2021,3006309,52035,57.77474776592678,89937
California,CA,6,2021,39455353,155779,253.27773961830542,2130285
Colorado,CO,8,2021,5723176,103642,55.22062484321028,680323
Connecticut,CT,9,2021,3605330,4842,744.5952085914911,33117
Delaware,DE,10,2021,981892,1949,503.7927142124166,81761
Florida,FL,12,2021,21339762,53625,397.9442797202797,2454610
Georgia,GA,13,2021,10625615,57513,184.7515344356928,911046
Hawaii,HI,15,2021,1453498,6423,226.29581192589131,90768
Idaho,ID,16,2021,1811617,82643,21.92099754365161,243814
Illinois,IL,17,2021,12821813,55519,230.94459554386788,-2047
Indiana,IN,18,2021,6751340,35826,188.44805448556914,265810
Iowa,IA,19,2021,3179090,55857,56.91480029360689,131444
Kansas,KS,20,2021,2932099,81759,35.86270624640712,80916
Kentucky,KY,21,2021,4494141,39486,113.81606138884668,153974
Louisiana,LA,22,2021,4657305,43204,107.79800481436904,127700
Maine,ME,23,2021,1357046,30843,43.99850857568978,27962
Maryland,MD,24,2021,6148545,9707,633.4135160193674,363049
Massachusetts,MA,25,2021,6991852,7800,896.391282051282,431257
Michigan,MI,26,2021,10062512,56539,177.97470772387203,165248
Minnesota,MN,27,2021,5670472,79627,71.21293028746531,357391
Mississippi,MS,28,2021,2967023,46923,63.23174136351043,-597
Missouri,MO,29,2021,6141534,68742,89.34179977306451,159121
Montana,MT,30,2021,1077978,145546,7.406441949624174,87193
Nebraska,NE,31,2021,1951480,76824,25.40195772154535,124174
Nevada,NV,32,2021,3059238,109781,27.86673468086463,355034
New Hampshire,NH,33,2021,1372175,8953,153.2642689601251,54701
New Jersey,NJ,34,2021,9234024,7354,1255.6464509110688,440136
New Mexico,NM,35,2021,2109366,121298,17.38994872133094,54079
New York,NY,36,2021,20114745,47126,426.8290328056699,716620
North Carolina,NC,37,2021,10367022,48618,213.23423423423424,822773
North Dakota,ND,38,2021,773344,69001,11.207721627222794,97091
Ohio,OH,39,2021,11769923,40861,288.04784513350137,236362
Oklahoma,OK,40,2021,3948136,68595,57.557198046504844,199131
Oregon,OR,41,2021,4207177,95988,43.83023919656624,370549
Pennsylvania,PA,42,2021,12970650,44743,289.8922736517444,271061
Rhode Island,RI,44,2021,1091949,1034,1056.0435203094778,39478
South Carolina,SC,45,2021,5078903,30061,168.95322843551446,448552
South Dakota,SD,46,2021,881785,75811,11.631359565234597,65914
Tennessee,TN,47,2021,6859497,41235,166.35132775554746,506271
Texas,TX,48,2021,28862581,261232,110.48639140687206,3653684
Utah,UT,49,2021,3231370,82170,39.325422903736154,465137
Vermont,VT,50,2021,641637,9217,69.6145166540089,16139
Virginia,VA,51,2021,8582479,39490,217.33297037224614,567524
Washington,WA,53,2021,7617364,66456,114.62266762970988,878650
West Virginia,WV,54,2021,1801049,24038,74.92507696147766,-49432
Wisconsin,WI,55,2021,5871661,54158,108.41724214335832,184442
Wyoming,WY,56,2021,576641,97093,5.939058428516989,13838
Alabama,AL,1,2020,4893186,50645,96.61735610622964,115860
Alaska,AK,2,2020,736990,570641,1.2915125271405314,25851
Arizona,AZ,4,2020,7174064,113594,63.155307498635494,763085
Arkansas,AR,5,2020,3011873,52035,57.88167579513789,95501
California,CA,6,2020,39346023,155779,252.5759120292209,2020955
Colorado,CO,8,2020,5684926,103642,54.85156596746493,642073
Connecticut,CT,9,2020,3570549,4842,737.412019826518,-1664
Delaware,DE,10,2020,967679,1949,496.5002565418163,67548
Florida,FL,12,2020,21216924,53625,395.6535944055944,2331772
Georgia,GA,13,2020,10516579,57513,182.855684801697,802010
